Integrator Name,Logo,Location,Website,Categories,Supported Protocols,Industries Served,Certification Level,AI_Industries_Gen,Category_Audit,Categories + Category_Audit Combined,Slug,AI_Description,Top 100 Integrator
"Valley Automation, Inc.",,"Winchester, Virginia",http://www.valleyautomation.net/,"MES Systems,Systems Integration,PLC Programming,HMI Design,SCADA Security","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Manufacturing,Food & Beverage,Energy & Utilities",Gold Integrator,"Water/Wastewater,Manufacturing,Food & Beverage,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,SCADA Security","MES Systems, Systems Integration, PLC Programming, HMI Design, SCADA Security, Systems Integration, PLC Programming, HMI Design, SCADA Security",,"Valley Automation, Inc. is a Winchester, Virginia-based integrator specializing in industrial and municipal automation. They provide process controls and control panel fabrication, with a focus on delivering custom-engineered solutions for complex client requirements.",
EVO Integration,,"Shoemakersville, PA, United States",http://www.evointegration.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Migration & Upgrades,Cloud / IIoT","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Migration & Upgrades,MES Systems,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Migration & Upgrades, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Migration & Upgrades, MES Systems, Cloud / IIoT",,"EVO Integration is a Houston, Texas-based integrator specializing in oil & gas and industrial automation. They provide control system integration and SCADA solutions, with a focus on customized automation for complex process environments.",
Merit Controls,,"Somerville, NJ, United States",https://www.meritsi.com/,"MES Systems,Systems Integration,PLC Programming,SCADA Security,Migration & Upgrades,HMI Design","OPC UA,Modbus TCP,MQTT,DNP3","Energy & Utilities,Manufacturing,Data Centers,General Automation",Gold Integrator,"Energy & Utilities,Manufacturing,Data Centers,General Automation","Systems Integration,PLC Programming,SCADA Security,Migration & Upgrades,HMI Design","MES Systems, Systems Integration, PLC Programming, SCADA Security, Migration & Upgrades, HMI Design, Systems Integration, PLC Programming, SCADA Security, Migration & Upgrades, HMI Design",,"Merit Controls is a Westport, Connecticut-based integrator specializing in renewable energy and power generation industries. They provide control system integration and grid compliance solutions, with a focus on advanced power plant controls and grid interconnection expertise.",
Primary Systems Inc / PSI,,"Old Bridge, NJ, United States",http://www.primarysys.com/,"Cloud / IIoT,MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Systems Integration,"Cloud / IIoT, MES Systems, Systems Integration, Systems Integration",,"Primary Systems Inc. is an Old Bridge, New Jersey-based integrator specializing in process and manufacturing industries. They provide control and automation solutions and data flow management, with a focus on seamless integration for regulated and traceability projects.",Top 100
"Eukodyne, LLC",,"Marlboro, NJ, United States",https://eukodyne.com/,"MES Systems,Systems Integration,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation",Gold Integrator,"Manufacturing,General Automation","MES Systems,Data Visualization / Dashboards,Systems Integration","MES Systems, Systems Integration, Data Visualization / Dashboards, MES Systems, Data Visualization / Dashboards, Systems Integration",,"Eukodyne, LLC is a New Brunswick, New Jersey-based integrator specializing in the food oils and beverage industries. They provide manufacturing execution system solutions and supply chain process optimization, with a focus on bulk liquid handling and real-time production transparency.",
"L&T Technology Services, LTTS",,"Edison, NJ, United States",https://www.ltts.com/,"MES Systems,Systems Integration,Cloud / IIoT,Data Visualization / Dashboards,Migration & Upgrades,PLC Programming,SCADA Security,HMI Design,Alarm Management","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,PROFINET,Siemens S7,DNP3,BACnet","Oil & Gas,Energy & Utilities,Automotive,Manufacturing",Gold Integrator,"Oil & Gas,Energy & Utilities,Automotive,Manufacturing","Systems Integration,Cloud / IIoT,Data Visualization / Dashboards,MES Systems,Migration & Upgrades,PLC Programming,SCADA Security,HMI Design,Alarm Management","MES Systems, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards, Migration & Upgrades, PLC Programming, SCADA Security, HMI Design, Alarm Management, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards, MES Systems, Migration & Upgrades, PLC Programming, SCADA Security, HMI Design, Alarm Management",,"L&T Technology Services (LTTS) is a Vadodara, Gujarat-based integrator specializing in mobility and industrial manufacturing sectors. They provide digital engineering and product engineering services, with a focus on integrating artificial intelligence across engineering solutions.",
Albireo Energy,,"Edison, New Jersey",https://www.albireoenergy.com/,"Cloud / IIoT,Systems Integration","OPC UA,Modbus TCP,MQTT,BACnet","Data Centers,Government,Life Sciences",Gold Integrator,"Data Centers,Government,Life Sciences",Systems Integration,"Cloud / IIoT, Systems Integration, Systems Integration",,"Albireo Energy is an Edison, New Jersey-based integrator specializing in building automation and energy management for commercial real estate and data centers. They provide building automation systems and energy services, with a focus on technology-agnostic integration and lifecycle support for mission-critical facilities.",
ICA Engineering,,"Union, NJ, United States",http://ica-engineering.com/contactus.html,"Cloud / IIoT,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Manufacturing,Energy & Utilities,General Automation",Gold Integrator,"Water/Wastewater,Manufacturing,Energy & Utilities,General Automation","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"ICA Engineering is a Union, New Jersey-based integrator specializing in process and specialty chemicals as well as food and beverage industries. They provide control systems integration and industrial automation services, with a focus on delivering full lifecycle solutions tailored to complex operational requirements.",Top 100
"Connell Industries, Inc.",,"West Caldwell, NJ, United States",http://www.connell-ind.com/,"MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,Data Visualization / Dashboards","MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Data Visualization / Dashboards, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Data Visualization / Dashboards",,"Connell Industries, Inc. is a West Caldwell, New Jersey-based integrator specializing in industrial automation and infrastructure systems. They provide control system retrofits and SCADA solutions, with a focus on customized PLC programming and energy-efficient automation for sectors such as utilities and packaging.",
Grey Wolf Automation LLC,,"Pompton Plains, NJ, United States",http://www.greywolfautomation.com/,"Cloud / IIoT,MES Systems,Systems Integration,Migration & Upgrades,PLC Programming","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Manufacturing,Water/Wastewater,Food & Beverage,Oil & Gas",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage,Oil & Gas","Systems Integration,Migration & Upgrades,PLC Programming","Cloud / IIoT, MES Systems, Systems Integration, Migration & Upgrades, PLC Programming, Systems Integration, Migration & Upgrades, PLC Programming",,"Grey Wolf Automation LLC is a Pompton Plains, New Jersey-based integrator specializing in the pharmaceutical and food & beverage industries. They provide automation systems integration and machine controls retrofits, with a focus on custom solutions for process control and facility management.",
"Control Associates, Inc.",,"Allendale, NJ, United States",http://www.control-associates.com/,"Enterprise,Systems Integration,MES Systems","OPC UA,Modbus TCP,MQTT","Energy & Utilities,Water/Wastewater,Oil & Gas,Life Sciences",Gold Integrator,"Energy & Utilities,Water/Wastewater,Oil & Gas,Life Sciences","Systems Integration,MES Systems","Enterprise, Systems Integration, MES Systems, Systems Integration, MES Systems",,"Control Associates, Inc. is an Allendale, New Jersey-based integrator specializing in the chemical and life sciences industries. They provide process control systems integration and asset reliability services, with a focus on delivering 24/7 lifecycle support and engineering expertise for industrial and commercial clients in the tri-state area.",
Integrated Industrial Technologies,,"Pittsburgh, PA, United States",http://www.isquaredt.com/,"MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,HMI Design","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design","MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design",,"Integrated Industrial Technologies is a Pittsburgh, Pennsylvania-based integrator specializing in industrial automation and manufacturing. They provide turnkey automation systems and robot integration services, with a focus on custom machine vision and retrofitting solutions for diverse industrial applications.",
Ectobox,,"Pittsburgh, PA, United States",http://ectobox.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,Data Visualization / Dashboards,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Sparkplug B","Manufacturing,General Automation",Gold Integrator,"Manufacturing,General Automation","Systems Integration,MES Systems,PLC Programming,Cloud / IIoT,Data Visualization / Dashboards,Migration & Upgrades","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, Data Visualization / Dashboards, Migration & Upgrades, Systems Integration, MES Systems, PLC Programming, Cloud / IIoT, Data Visualization / Dashboards, Migration & Upgrades",,"Ectobox is a Pittsburgh, Pennsylvania-based integrator specializing in manufacturing and industrial automation. They provide MES and systems integration services, with a focus on delivering tailored, real-time plant visibility solutions for data-driven manufacturing.",
Fairwinds Automation,,"Goode, VA, United States",http://www.fairwindsautomation.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Migration & Upgrades,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Migration & Upgrades,MES Systems,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Migration & Upgrades, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Migration & Upgrades, MES Systems, Cloud / IIoT",,"Fairwinds Automation is a Goode, Virginia-based integrator specializing in nuclear and defense industries. They provide control system engineering and integration services, with a focus on complex federal government projects and Virginia Professional Engineer-certified expertise.",Top 100
CDMG,,"Canonsburg, PA, United States",http://www.cdmg.com/,"Cloud / IIoT,MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT","Manufacturing,Energy & Utilities,Oil & Gas,Mining & Metals",Gold Integrator,"Manufacturing,Energy & Utilities,Oil & Gas,Mining & Metals",Systems Integration,"Cloud / IIoT, MES Systems, Systems Integration, Systems Integration",,"CDMG is a Canonsburg, Pennsylvania-based integrator specializing in metals and oil & gas industries. They provide engineering and project management services, with a focus on delivering large-scale industrial construction projects nationwide using advanced 3D modeling and automation capabilities.",
AltaVista Instruments and Control (AIC),,"Altavista, VA, United States",http://www.aic-company.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing",Gold Integrator,"Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing","Systems Integration,PLC Programming,Data Visualization / Dashboards,Cloud / IIoT","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, Data Visualization / Dashboards, Systems Integration, PLC Programming, Data Visualization / Dashboards, Cloud / IIoT",,"AltaVista Instruments and Control (AIC) is an Altavista, Virginia-based integrator specializing in manufacturing and process industries. They provide industrial automation solutions and custom control panel design, with a focus on comprehensive system integration and 24/7 support.",
Skellig Automation,,"Hawthorne, NY, United States",http://skellig.com/,"Cloud / IIoT,MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Life Sciences,Food & Beverage",Gold Integrator,"Manufacturing,General Automation,Life Sciences,Food & Beverage",Systems Integration,"Cloud / IIoT, MES Systems, Systems Integration, Systems Integration",,"Skellig Automation is a Hawthorne, New York-based integrator specializing in biotechnology and pharmaceutical industries. They provide process automation and MES consulting services, with a focus on digital transformation and modernizing legacy systems for life sciences manufacturing.",
Dorsett Controls,,"Vinton, VA, United States",http://dorsettcontrols.com/,"Cloud / IIoT,Systems Integration,Data Visualization / Dashboards,HMI Design,PLC Programming","OPC UA,Modbus TCP,MQTT,DNP3,BACnet","Water/Wastewater,Energy & Utilities,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Government","Systems Integration,Data Visualization / Dashboards,HMI Design,PLC Programming","Cloud / IIoT, Systems Integration, Data Visualization / Dashboards, HMI Design, PLC Programming, Systems Integration, Data Visualization / Dashboards, HMI Design, PLC Programming",,"Dorsett Controls is a North Carolina-based integrator specializing in water/wastewater treatment and intelligent building systems. They provide customized SCADA system design and integration, with a focus on flexible technology solutions and 24/7 expert support.",
miv Technologies,,"Roanoke, VA, United States",http://mivtechnologies.com/,"MES Systems,Systems Integration,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation",Gold Integrator,"Manufacturing,General Automation","MES Systems,Systems Integration,Data Visualization / Dashboards","MES Systems, Systems Integration, Data Visualization / Dashboards, MES Systems, Systems Integration, Data Visualization / Dashboards",,"miv Technologies is a Roanoke, Virginia-based integrator specializing in manufacturing and utility operations. They provide MES and SCADA consulting and implementation services, with a focus on process optimization and scalable solutions for downtime/OEE, recipe management, and product tracking.",
DR Controls LLC,,"Salem, VA, United States",http://drcontrolsllc.com/,"Cloud / IIoT,Systems Integration","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Systems Integration,"Cloud / IIoT, Systems Integration, Systems Integration",,"DR Controls LLC is a Salem, Virginia-based integrator specializing in industrial automation and control systems. They provide control panel design and assembly as well as field troubleshooting and upgrade services, with a focus on custom system integration and on-site support.",
PowerSecure,,"Wake Forest, NC, United States",http://www.powersecure.com/,"Cloud / IIoT,MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT,DNP3,BACnet","Data Centers,Government,Manufacturing",Gold Integrator,"Data Centers,Government,Manufacturing",Systems Integration,"Cloud / IIoT, MES Systems, Systems Integration, Systems Integration",,"PowerSecure is a Durham, North Carolina-based integrator specializing in distributed energy infrastructure and microgrid solutions. They provide turnkey microgrid development and energy efficiency services, with a focus on in-house 360 integration for resilient, custom energy systems.",
Pronto System Solutions,,"Torrington, CT, United States",http://www.prontosystemsolutions.com/,"Cloud / IIoT,Systems Integration,MES Systems,PLC Programming,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Energy & Utilities,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Energy & Utilities,Water/Wastewater","MES Systems,PLC Programming,Data Visualization / Dashboards,Systems Integration","Cloud / IIoT, Systems Integration, MES Systems, PLC Programming, Data Visualization / Dashboards, MES Systems, PLC Programming, Data Visualization / Dashboards, Systems Integration",,"Pronto System Solutions is a Dallas, Texas-based integrator specializing in manufacturing and industrial automation. They provide SCADA/MES implementation and electrical design services, with a focus on integrating Ignition IoT technology for real-time production optimization.",
"Han-Tek, Inc",,"Honeoye Falls, NY, United States",http://www.han-tek.com/,"MES Systems,Systems Integration,PLC Programming,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT","Manufacturing,Transportation,General Automation",Gold Integrator,"Manufacturing,Transportation,General Automation","Systems Integration,PLC Programming,Data Visualization / Dashboards","MES Systems, Systems Integration, PLC Programming, Data Visualization / Dashboards, Systems Integration, PLC Programming, Data Visualization / Dashboards",,"Han-Tek, Inc. is a Honeoye Falls, New York-based integrator specializing in manufacturing and metals industries. They provide integrated automation and material handling systems, with a focus on custom-engineered solutions for complex operational needs.",
Veolia Water Technologies,,"Raleigh, NC, United States",http://www.veoliawaterstna.com/,"MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Food & Beverage,Life Sciences",Gold Integrator,"Water/Wastewater,Food & Beverage,Life Sciences",Systems Integration,"MES Systems, Systems Integration, Systems Integration",,"Veolia Water Technologies is a Trevose, Pennsylvania-based integrator specializing in water and wastewater treatment for municipal and industrial sectors. They provide process design and equipment solutions, with a focus on advanced membrane bioreactor systems and comprehensive lifecycle support.",
Hy-Tek Intralogistics,,"Bristol, CT, United States",https://hy-tek.com/,"Cloud / IIoT,Systems Integration,PLC Programming,MES Systems,Data Visualization / Dashboards,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Transportation,Manufacturing,General Automation",Gold Integrator,"Transportation,Manufacturing,General Automation","Systems Integration,PLC Programming,MES Systems,Data Visualization / Dashboards,Migration & Upgrades,Cloud / IIoT","Cloud / IIoT, Systems Integration, PLC Programming, MES Systems, Data Visualization / Dashboards, Migration & Upgrades, Systems Integration, PLC Programming, MES Systems, Data Visualization / Dashboards, Migration & Upgrades, Cloud / IIoT",,"Hy-Tek Intralogistics is a Columbus, Ohio-based integrator specializing in eCommerce and third-party logistics. They provide warehouse automation solutions and supply chain consulting, with a focus on tailored system integration for distribution and fulfillment centers.",
Ramboll,,"Copenhagen, Denmark",https://www.ramboll.com/en-us,"MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Transportation,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Transportation,Government",Systems Integration,"MES Systems, Systems Integration, Systems Integration",,"Ramboll is a Copenhagen, Denmark-based integrator specializing in engineering and environmental consultancy. They provide architecture and infrastructure solutions, with a focus on delivering sustainable projects for governments and companies worldwide.",
AMR PEMCO,,"Rocky Gap, VA, United States",http://amrpemco.com/,"MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT,DNP3","Mining & Metals,Water/Wastewater,Manufacturing",Gold Integrator,"Mining & Metals,Water/Wastewater,Manufacturing",Systems Integration,"MES Systems, Systems Integration, Systems Integration",,"AMR PEMCO is a Rocky Gap, Virginia-based integrator specializing in mining and industrial sectors. They provide electrical distribution equipment and automation services, with a focus on custom safety electronics and monitoring solutions.",
Accel Technologies,,"Rochester, NY, United States",http://accel-technologies.net/,"Cloud / IIoT,Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Migration & Upgrades,MES Systems","OPC UA,Modbus TCP,MQTT","General Automation,Manufacturing,Energy & Utilities,Water/Wastewater",Gold Integrator,"General Automation,Manufacturing,Energy & Utilities,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,Migration & Upgrades,MES Systems,Cloud / IIoT","Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Migration & Upgrades, MES Systems, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Migration & Upgrades, MES Systems, Cloud / IIoT",,"Accel Technologies is a Rochester, New York-based integrator specializing in manufacturing and industrial automation. They provide PLC/HMI programming and data integration services, with a focus on unifying plant operations through Ignition-based dashboards and multi-site data standardization.",
"General Control Systems,Inc.",,"Albany, NY, United States",https://www.generalcontrolsystems.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Water/Wastewater,Food & Beverage,Manufacturing,Energy & Utilities",Gold Integrator,"Water/Wastewater,Food & Beverage,Manufacturing,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"General Control Systems, Inc. is an Albany, New York-based integrator specializing in industrial manufacturing and water/wastewater industries. They provide manufacturing automation and process control solutions, with a focus on custom control system design and 24-hour service support.",
Verus Associates,,"Albany, OR, United States",https://www.verusaec.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Manufacturing,General Automation,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,Cloud / IIoT","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, Cloud / IIoT",,"Verus Associates is a Houston, Texas-based integrator specializing in oil and gas and manufacturing industries. They provide control system integration and industrial IT services, with a focus on delivering end-to-end digital transformation solutions for connected facilities.",
Piedmont Automation Inc.,,"Winston Salem, NC, United States",http://teampiedmont.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"Piedmont Automation Inc. is a Winston-Salem, North Carolina-based integrator specializing in municipal and industrial sectors. They provide process control solutions and SCADA/telemetry systems, with a focus on custom automation and UL508A/UL698A panel building.",
"Avid Solutions, Inc.",,"Winston Salem, NC, United States",http://www.avidsolutionsinc.com/,"MES Systems,Systems Integration,PLC Programming,Data Visualization / Dashboards,Cloud / IIoT,Migration & Upgrades,SCADA Security","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Food & Beverage,Life Sciences,Manufacturing",Gold Integrator,"Food & Beverage,Life Sciences,Manufacturing","Systems Integration,PLC Programming,MES Systems,Data Visualization / Dashboards,Cloud / IIoT,Migration & Upgrades,SCADA Security","MES Systems, Systems Integration, PLC Programming, Data Visualization / Dashboards, Cloud / IIoT, Migration & Upgrades, SCADA Security, Systems Integration, PLC Programming, MES Systems, Data Visualization / Dashboards, Cloud / IIoT, Migration & Upgrades, SCADA Security",,"Avid Solutions, Inc. is a Winston-Salem, North Carolina-based integrator specializing in life sciences and chemical industries. They provide process control system integration and manufacturing intelligence solutions, with a focus on digitally enabled smart manufacturing and operational optimization.",
Axiom Manufacturing Systems,,"Chesterland, OH, United States",http://www.axiomsystems.io/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,General Automation",Gold Integrator,"Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Axiom Manufacturing Systems is a Cleveland, Ohio-based integrator specializing in manufacturing and industrial operations. They provide digital solutions integration and strategy consulting, with a focus on practical, shop floor-ready implementations that empower client teams to drive sustainable improvements.",
Wolfram Automation,,"Ellington, CT, United States",,Systems Integration,,,Gold Integrator,,,Systems Integration,,,
Spectra Automation Ltd.,,"Hopedale, MA, United States",https://spectraautomation.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Food & Beverage,Manufacturing,Energy & Utilities",Gold Integrator,"Water/Wastewater,Food & Beverage,Manufacturing,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,SCADA Security,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, SCADA Security, Cloud / IIoT",,"Spectra Automation Ltd. is a Hopedale, Massachusetts-based integrator specializing in life sciences and manufacturing industries. They provide process controls and construction management services, with a focus on delivering turnkey automation solutions from conceptual design through after-startup support.",
"Xigent Automation Systems, Inc.",,"Lewis Center, OH, United States",http://www.xasinc.com/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Water/Wastewater,Food & Beverage,Manufacturing,Energy & Utilities",Gold Integrator,"Water/Wastewater,Food & Beverage,Manufacturing,Energy & Utilities","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Xigent Automation Systems, Inc. is a Lewis Center, Ohio-based integrator specializing in manufacturing and powder filling industries. They provide custom automation system integration and turnkey weigh-fill solutions, with a focus on vertically integrated project delivery and proprietary FillPRO technology.",
Prism Technology Group,,"Milford, MA, United States",http://www.prismtg.com/,"MES Systems,Systems Integration,Migration & Upgrades,SCADA Security","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater,Energy & Utilities","Systems Integration,Migration & Upgrades,SCADA Security","MES Systems, Systems Integration, Migration & Upgrades, SCADA Security, Systems Integration, Migration & Upgrades, SCADA Security",,"Prism Technology Group is a Milford, Massachusetts-based integrator specializing in manufacturing and water/wastewater industries. They provide industrial control system modernization and SCADA implementation, with a focus on integrating IT/OT and security infrastructure for safe and efficient operations.",
"Live Automation, Inc.",,"Sterling, MA, United States",http://www.liveautomation.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,Food & Beverage,Water/Wastewater,General Automation",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater,General Automation","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"Live Automation, LLC is a Sterling, Massachusetts-based integrator specializing in manufacturing and industrial automation. They provide custom automation equipment and process controls engineering, with a focus on platform-agnostic integration and retrofitting solutions for complex industrial environments.",
Stellix Global Services,,"Mansfield, MA, United States",https://www.neci.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,SCADA Security,Data Visualization / Dashboards,HMI Design,Alarm Management","OPC UA,Modbus TCP,MQTT","Oil & Gas,Life Sciences,Water/Wastewater",Gold Integrator,"Oil & Gas,Life Sciences,Water/Wastewater","Systems Integration,PLC Programming,Migration & Upgrades,MES Systems,SCADA Security,Cloud / IIoT,Data Visualization / Dashboards,HMI Design,Alarm Management","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, SCADA Security, Data Visualization / Dashboards, HMI Design, Alarm Management, Systems Integration, PLC Programming, Migration & Upgrades, MES Systems, SCADA Security, Cloud / IIoT, Data Visualization / Dashboards, HMI Design, Alarm Management",,"Stellix Global Services is a Foxborough, Massachusetts-based integrator specializing in life sciences and power generation industries. They provide automation solutions and digital transformation services, with a focus on enterprise-wide data integration and process optimization.",
